USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
namananand        1339   0.2  0.8 1892224000  69536   ??  S     5:08PM   1:23.90 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper (Plugin).app/Contents/MacOS/Antigravity IDE Helper (Plugin) --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --dns-result-order=ipv4first --experimental-network-inspection --inspect-port=0 --user-data-dir=/Users/namananand/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,11128916437436629230,10424437099738163828,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190709003178624776
root               334   0.2  0.1 435458624  10608   ??  Ss   29Jun26  91:59.10 /usr/libexec/logd
namananand       71878   0.2  0.1 436237696   8624   ??  S    29Jul26  30:57.95 /System/Library/Input Methods/CharacterPalette.app/Contents/MacOS/CharacterPalette
namananand       29811   0.1  0.1 435943328   7152   ??  S     7Aug26  13:31.92 /Applications/Xcode.app/Contents/Applications/Instruments.app/Contents/MacOS/Instruments
namananand        1074   0.1  1.1 436542864  96192   ??  S     5:02PM   0:42.75 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell
root               363   0.1  0.1 435524304  11040   ??  Ss   29Jun26  87:50.01 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
_mysql             557   0.1  0.0 435879216   3056   ??  Ss   29Jun26  49:44.01 /usr/local/mysql/bin/mysqld --user=_mysql --basedir=/usr/local/mysql --datadir=/usr/local/mysql/data --plugin-dir=/usr/local/mysql/lib/plugin --log-error=/usr/local/mysql/data/mysqld.local.err --pid-file=/usr/local/mysql/data/mysqld.local.pid
root               403   0.1  0.1 435340784   4512   ??  Ss   29Jun26  26:03.83 /usr/libexec/corebrightnessd --launchd
namananand         803   0.1  0.3 437111392  24688   ??  S    29Jun26  72:41.88 /Applications/JetBrains Toolbox.app/Contents/MacOS/jetbrains-toolbox --minimize
namananand         786   0.1  0.0 435327776    832   ??  S    29Jun26  21:21.10 /opt/homebrew/opt/redis/bin/redis-server 127.0.0.1:6379 
root               502   0.1  0.1 435570384   7776   ??  Ss   29Jun26  72:01.00 /usr/libexec/syspolicyd
root               456   0.1  0.2 435484736  13968   ??  Ss   29Jun26 319:45.49 /usr/libexec/airportd
root               338   0.1  0.0 435313008   4112   ??  Ss   29Jun26 103:35.74 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
namananand       46254   0.1  0.5 436200480  45936   ??  S     8Aug26 186:14.72 /Applications/Telegram.app/Contents/MacOS/Telegram
root              6401   0.0  0.0 435341984   2400   ??  Ss    9:15PM   0:00.07 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Versions/A/XPCServices/com.apple.MobileSoftwareUpdate.CleanupPreparePathService.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.CleanupPreparePathService
_softwareupdate   6400   0.0  0.0 435342752   3008   ??  Ss    9:15PM   0:00.13 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
namananand        6398   0.0  0.0 435340896   3584   ??  S     9:15PM   0:00.12 /System/Library/PrivateFrameworks/CoreRecents.framework/Versions/A/Support/recentsd
namananand        6390   0.0  0.1 435343520   4320   ??  S     8:57PM   0:00.58 cloudphotod
namananand        6389   0.0  0.0 507358416   1168   ??  Ss    8:57PM   0:00.40 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
namananand        6388   0.0  0.0 435305232   3856   ??  S     8:57PM   0:00.16 /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Support/photoanalysisd
root              6387   0.0  0.0 435340960   2384   ??  Ss    8:57PM   0:00.60 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
root              6386   0.0  0.0 435305280   1424   ??  Ss    8:57PM   0:00.04 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/MacOS/XProtect
namananand        6385   0.0  0.0 435306800   2960   ??  S     8:48PM   0:00.10 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
namananand        6384   0.0  0.0 435367216   1296   ??  Ss    8:48PM   0:00.04 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
namananand        6383   0.0  0.0 435341488   3120   ??  S     8:48PM   0:00.22 /System/Library/CoreServices/ScopedBookmarkAgent
namananand        6382   0.0  0.1 435360048   4848   ??  S     8:48PM   0:01.65 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
namananand        6377   0.0  0.0 435340912   2416   ??  S     8:48PM   0:00.95 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
